,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,Tahir banking on subcontinent experience to do well for DD http://t.co/GAywK4z40f #cricket,FALSE,0,NA,5/10/2014 6:41,FALSE,NA,4.65019E+17,NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",Vennillaa,0,FALSE,FALSE,NA,NA
2,"We did not play as a unit, says RCB captain Kohli http://t.co/afsfoALWel #cricket",FALSE,0,NA,5/10/2014 6:41,FALSE,NA,4.65019E+17,NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",Vennillaa,0,FALSE,FALSE,NA,NA
3,No IPL matches in Chennai this year http://t.co/o3pK9tB3J0 #cricket,FALSE,0,NA,5/10/2014 6:41,FALSE,NA,4.65019E+17,NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",Vennillaa,0,FALSE,FALSE,NA,NA
4,RT @rajnikanth: Hangout with indian cricketer Virender Sehwag through Google+ hangout! http://t.co/Xnot7H2q #google+ #hangout #cricket,FALSE,0,NA,5/10/2014 6:41,FALSE,NA,4.65019E+17,NA,web,subairmani1,7,TRUE,FALSE,NA,NA
5,"Brahama Sahoo bet 1000 coins on the match #DD Vs #SunRiser #SRH, Start betting #PepsiIPL #cricket  #IPL7 #IPL2014",FALSE,0,NA,5/10/2014 6:41,FALSE,NA,4.65019E+17,NA,"<a href=""http://letsbett.com"" rel=""nofollow"">letsbett</a>",LetsBettdotcom,0,FALSE,FALSE,NA,NA
6,#จิ้งหรีด Super Kings look to set Mumbai record straight  #cricket,FALSE,0,NA,5/10/2014 6:41,FALSE,NA,4.65019E+17,NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",Charoen_Ploy,0,FALSE,FALSE,NA,NA
7,RT @2387Moeez: Our jerseys have finally arrived. #cricket #thunder http://t.co/MWjBsO0IjU,FALSE,0,NA,5/10/2014 6:41,FALSE,NA,4.65019E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Potterfan185,2,TRUE,FALSE,NA,NA
8,RT @DhakaTribune: #DarrenSammy retires from Test cricket: http://t.co/ZRygkE8s6P #WestIndies #Cricket,FALSE,0,NA,5/10/2014 6:39,FALSE,NA,4.65018E+17,NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>",NodeSystems,1,TRUE,FALSE,NA,NA
9,Mooie column @bobvabo over #rugby sponsoring  #linkit Leuke vergelijking met #cricket #abnamro http://t.co/jL1HmtrLzw @SevensAmsterdam,FALSE,0,NA,5/10/2014 6:39,FALSE,NA,4.65018E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",EricHoli,0,FALSE,FALSE,NA,NA
10,"Denesh Ramdin replaces Darren Sammy as captain of West Indies Test side. The latter hung his bat. #Cricket""",FALSE,0,NA,5/10/2014 6:39,FALSE,NA,4.65018E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",gulzar_mursal,0,FALSE,FALSE,NA,NA
11,#DarrenSammy retires from Test cricket: http://t.co/ZRygkE8s6P #WestIndies #Cricket,FALSE,0,NA,5/10/2014 6:38,FALSE,NA,4.65018E+17,NA,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>",DhakaTribune,1,FALSE,FALSE,NA,NA
12,RT @CricketAus: Darren Sammy has announced his retirement from Test cricket after losing the @westindies captaincy. More: http://t.co/QFGnn…,FALSE,0,NA,5/10/2014 6:36,FALSE,NA,4.65018E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",meeSherry,12,TRUE,FALSE,NA,NA
13,"RT @cricup: #cricket Pollard cautioned - Rohit: IPL newsfile on May 10, 2014 http://t.co/G11Tse1x1Q",FALSE,0,NA,5/10/2014 6:36,FALSE,NA,4.65017E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MSDhoniCSK007,2,TRUE,FALSE,NA,NA
