"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#dove #lordofthering #roses #ribtattoo #tattoo #sketch #conceptbodyart #davidhorspool #artbyu… http://t.co/ujGd3otTcZ",FALSE,0,NA,2014-02-09 09:23:42,FALSE,NA,"432444686658441216",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Crowsuk",0,FALSE,FALSE,NA,NA
"2","#kintsukuroi #riparazione #dove #giappone #breach #kintsugi http://t.co/gi7ADCbe4d",FALSE,0,NA,2014-02-09 09:19:06,FALSE,NA,"432443528019718144",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","goponygogo",0,FALSE,FALSE,NA,NA
"3","#shopping #dove http://t.co/14isWHqZo2",FALSE,0,NA,2014-02-09 09:00:13,FALSE,NA,"432438778880208897",NA,"web","Torgovtseva",0,FALSE,FALSE,NA,NA
"4","#shopping #dove http://t.co/PTnoHCQ4yR",FALSE,0,NA,2014-02-09 08:59:45,FALSE,NA,"432438659707437056",NA,"web","Torgovtseva",0,FALSE,FALSE,NA,NA
"5","#shopping #dove http://t.co/aDCZ5nQK4h",FALSE,0,NA,2014-02-09 08:59:11,FALSE,NA,"432438518950805505",NA,"web","Torgovtseva",0,FALSE,FALSE,NA,NA
"6","#shopping #dove http://t.co/wXub8qJmKq",FALSE,0,NA,2014-02-09 08:58:39,FALSE,NA,"432438383403483137",NA,"web","Torgovtseva",0,FALSE,FALSE,NA,NA
"7","#shopping #dove http://t.co/ORZbEcdpOD",FALSE,0,NA,2014-02-09 08:58:02,FALSE,NA,"432438225408233472",NA,"web","Torgovtseva",0,FALSE,FALSE,NA,NA
"8","Andiamoci a vedere sto Reggiana Parma #vecchi #ricordi #reggiana #a #giugno #dove #vado #? ⚽️⚽️ http://t.co/kBRXQkhz48",FALSE,0,NA,2014-02-09 08:37:12,FALSE,NA,"432432986584539136",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","MarcoChiur",0,FALSE,FALSE,NA,NA
"9","RT @gerira: 今日撮った線路を歩く鳩さん。#pigeon #dove #bird #鳩 #鳥 http://t.co/tL2Nu2Zzgr",FALSE,0,NA,2014-02-09 08:00:02,FALSE,NA,"432423631583313920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kentaros922",2,TRUE,FALSE,NA,NA
"10","Fresh out the Shower #Dove #Roses!!!",FALSE,0,NA,2014-02-09 07:22:38,FALSE,NA,"432414217703292928",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>","Igot_FAITH",0,FALSE,FALSE,NA,NA
"11","真冬の海がツラくない(´ω｀)
#Dove #真冬#日本海#波乗り http://t.co/K0DuLNmh9W",FALSE,0,NA,2014-02-09 06:38:01,FALSE,NA,"432402990486806528",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Yusuke_adolph",0,FALSE,FALSE,NA,NA
"12","I do believe that #Dove showed that correctly.. #RealBeautyCampaign #loveyourselffirst http://t.co/fUF1R938vy",FALSE,0,NA,2014-02-09 06:29:40,FALSE,NA,"432400891531243520",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","sippincolLEAN",0,FALSE,FALSE,NA,NA
"13","RT @Ericka_B07: Early valentines to me from @t_coop10 #happy #myfav #dove #truffles #lovehim http://t.co/r91bFR9NdE",FALSE,0,NA,2014-02-09 06:28:16,FALSE,NA,"432400539721011200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","t_coop10",1,TRUE,FALSE,NA,NA
"14","Dead Dove in Fridge  
http://t.co/4ES4YbELm0
#fridge #Dead #Dove http://t.co/0Nd4K64qP4",FALSE,0,NA,2014-02-09 06:02:04,FALSE,NA,"432393944249696256",NA,"<a href=""http://fails.net"" rel=""nofollow"">Fails.net</a>","Failsnet",0,FALSE,FALSE,NA,NA
"15","Early valentines to me from @t_coop10 #happy #myfav #dove #truffles #lovehim http://t.co/r91bFR9NdE",FALSE,1,NA,2014-02-09 06:01:13,FALSE,NA,"432393732508639232",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Ericka_B07",1,FALSE,FALSE,NA,NA
"16","#dove #craving for #chocolates :) http://t.co/JdV1unv59H",FALSE,0,NA,2014-02-09 05:16:36,FALSE,NA,"432382503639580672",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","angheluvsg",0,FALSE,FALSE,NA,NA
"17","RT @findsalesrepcom: Find #Dove Chocolate Discoveries network marketing reps in Ontario at http://t.co/PRebb5Xt9V",FALSE,0,NA,2014-02-09 05:04:49,FALSE,NA,"432379535242588160",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","TLCReview",1,TRUE,FALSE,NA,NA
"18","My new addiction! #alexandani #marchbirthstone #Vinitial #dove #pawprint http://t.co/ShLtQIc3Ki",FALSE,0,NA,2014-02-09 04:56:32,FALSE,NA,"432377450421829632",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","vera_luciax3",0,FALSE,FALSE,NA,NA
"19","Find #Dove Chocolate Discoveries network marketing reps in Ontario at http://t.co/PRebb5Xt9V",FALSE,0,NA,2014-02-09 04:45:03,FALSE,NA,"432374562085294080",NA,"<a href=""http://www.findsalesrep.com/twitter-app"" rel=""nofollow"">FindSalesRep.com</a>","findsalesrepcom",1,FALSE,FALSE,NA,NA
"20","RT @Wrestl4All: #DOVE – RESULTATS DU 7 FEVRIER 2014 http://t.co/CJHgYWyn74",FALSE,0,NA,2014-02-09 04:24:00,FALSE,NA,"432369263941533696",NA,"web","MRY2J68",2,TRUE,FALSE,NA,NA
"21","Received my first #VoxBox today from #Dove for their new deodorant! #raiseyourarms #influenster… http://t.co/4KPvHQCK9J",FALSE,0,NA,2014-02-09 04:09:32,FALSE,NA,"432365625823211521",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","LolaLola_sparks",0,FALSE,FALSE,NA,NA
"22","Cute one for the ladies, thanks to this sweetheart.  #dove #nevergiveup #bird #tattoo #tattoos… http://t.co/5degETvIno",FALSE,0,NA,2014-02-09 03:58:05,FALSE,NA,"432362742075633664",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","tatbalmer",0,FALSE,FALSE,NA,NA
