"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Trophy Manager - это футбольный менеджер, Игра бесплатная. http://t.co/FvmjvznYCK #football #futbol #Футбол #TrophyManager",FALSE,0,NA,2014-05-10 08:49:15,FALSE,NA,"465050925346717696",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","football_bot_RU",0,FALSE,FALSE,NA,NA
"2","So proud of this one 3 thing to do, one down 2 to go! #Football #SATS #DanceShow #Theatre #Proud http://t.co/fHYZqBz5iL",FALSE,0,NA,2014-05-10 08:49:07,FALSE,NA,"465050890282741760",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","SMcwash",0,FALSE,FALSE,NA,NA
"3","#Football ▪ Arsenal manager Arsene Wenger 'offered Monaco job': Club reportedly want to make Arsenal coach wor... http://t.co/wvKm2HbDwp",FALSE,0,NA,2014-05-10 08:49:03,FALSE,NA,"465050874012631040",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Kazi_UK",0,FALSE,FALSE,NA,NA
"4","Club reportedly want to make Arsenal coach world's best paid manager as they attempt to lure... http://t.co/LzSN3SkrgM #football #sports",FALSE,0,NA,2014-05-10 08:49:01,FALSE,NA,"465050867524071425",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Twittyfooty",0,FALSE,FALSE,NA,NA
"5","Daily Mirror: «Хендерсон согласовал новый контракт с «Ливерпулем»
http://t.co/U83wduFzM1
#LFC #Liverpool #YNWA #OFFside #football",FALSE,0,NA,2014-05-10 08:49:01,FALSE,NA,"465050866631073794",NA,"web","England_OFFside",0,FALSE,FALSE,NA,NA
"6","CALCIO VIOLENTO|Proiettile per 'a carogna
Altra lettera di minacce
per l'ultras del Napoli... http://t.co/IPQKAiF3eZ #football #calcio",FALSE,0,NA,2014-05-10 08:48:33,FALSE,NA,"465050749278248960",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","football_bot_IT",0,FALSE,FALSE,NA,NA
"7","LE ULTIME|PROBABILI FORMAZIONI
Fiorentina, Rossi dal 1'
Lazio, Klose dall'inizio
Parma, d... http://t.co/sBXhOdOvqC #football #calcio",FALSE,0,NA,2014-05-10 08:48:33,FALSE,NA,"465050748602970112",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","football_bot_IT",0,FALSE,FALSE,NA,NA
"8","Χριστοφόρου: «Δικαιούμασταν κάτι παραπάνω» http://t.co/AGhM9nAG1T #Apollon #Limassol #Cyprus #Football",FALSE,0,NA,2014-05-10 08:48:31,FALSE,NA,"465050739555840000",NA,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","ApollonLimFC",0,FALSE,FALSE,NA,NA
"9","Daily Star: «Челси» и «Ливерпулю» нужен Эркин»
http://t.co/plPJPGgSVV
#CFC #LFC #Chelsea #Liverpool #YNWA #OFFside #football #transfers",FALSE,0,NA,2014-05-10 08:48:30,FALSE,NA,"465050736628600832",NA,"web","England_OFFside",0,FALSE,FALSE,NA,NA
"10","Really nice commercial from Nike starring Ibramhimovic, Ronaldo, Neimar among others! #nike #worldcup #football https://t.co/uSXCq6gT2i",FALSE,0,NA,2014-05-10 08:48:10,FALSE,NA,"465050652348284928",NA,"web","Packalen",0,FALSE,FALSE,NA,NA
