"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @maiipaaz: #Selfie  #Friends #Rain http://t.co/E4ezH9r8vo",FALSE,0,NA,2014-05-10 03:59:00,FALSE,NA,"464977882088235008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","luzferper",2,TRUE,FALSE,NA,NA
"2","My friend!! #friends #lifemoments #happymoments #reunion #justloveit http://t.co/LRPnEDCNaP",FALSE,0,NA,2014-05-10 03:58:57,FALSE,NA,"464977868053680128",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Rain880309",0,FALSE,FALSE,NA,NA
"3","Definitely going to miss these two a whole lot next year @MichaelRitzel @btwilliams17 #friends #myfavorites #lovethem http://t.co/Smj90H95zL",FALSE,0,NA,2014-05-10 03:58:56,FALSE,NA,"464977864073285632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ambyrina",0,FALSE,FALSE,NA,NA
"4","RT @MariannVegaOk: Nueva Mortadela la Grosa! Mmm que rica, mmm que grosa!! #Promotor #Picada #Friends. #Rico http://t.co/H3wkPTUtoS",FALSE,0,NA,2014-05-10 03:58:56,FALSE,NA,"464977863650050048",NA,"web","Antoneta_15",5,TRUE,FALSE,NA,NA
"5","Compartiendo despuÃ©s de tanto tiempo con ocantokarla @aldrinbrito mzsorett #compartir #friends #nigthâ€¦ http://t.co/ZDR79mDz55",FALSE,0,NA,2014-05-10 03:58:51,FALSE,NA,"464977841734422529",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","IbeliceAguilar",0,FALSE,FALSE,NA,NA
"6","#Chocolate #Gordas #Friends http://t.co/dMxKtN9jB1",FALSE,0,NA,2014-05-10 03:58:49,FALSE,NA,"464977835523080193",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","IaruMedina",0,FALSE,FALSE,NA,NA
"7","Always trying to kiss me. Hanging with my love @just_geddi B-Dubs and beer!!! #wifey #bdubs #friendsâ€¦ http://t.co/n2f5qeeMvS",FALSE,0,NA,2014-05-10 03:58:47,FALSE,NA,"464977826773737472",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","markdesign79",0,FALSE,FALSE,NA,NA
"8","RT @medicensikiu_: #Friends #Fineâ™¥ http://t.co/ctRnwFMoyf",FALSE,0,NA,2014-05-10 03:58:39,FALSE,NA,"464977793504514048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","javierpirela16",1,TRUE,FALSE,NA,NA
"9","The Power Puff Girls í ½í¹…í ½í¹…í ½í¹… miss you girls! #bestoftheday #best #friends #friendship #powerpuffgirlsâ€¦ http://t.co/MWz4uYW6HD",FALSE,0,NA,2014-05-10 03:58:38,FALSE,NA,"464977789964140545",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","sissca_fran",0,FALSE,FALSE,NA,NA
"10","RT @medicensikiu_: #Friendsâ™¥ http://t.co/g5G9JEN2GH",FALSE,0,NA,2014-05-10 03:58:08,FALSE,NA,"464977664932315136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","javierpirela16",1,TRUE,FALSE,NA,NA
