"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @shivani3691: #IndianParentLogic If you swallow seeds of  a fruit, a tree will grow inside you!",FALSE,0,NA,2014-02-06 16:25:24,FALSE,NA,"431463649492729857",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anand_aks",5,TRUE,FALSE,NA,NA
"2","RT @hairdofreak: í ½í¸‚í ½í¸‚í ½í¸‚í ½í¸‚í ½í¸‚ #IndianParentLogic http://t.co/bjTZFh1y4y",FALSE,0,NA,2014-02-06 05:59:45,FALSE,NA,"431306197556547584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DreamrDeceiver",19,TRUE,FALSE,NA,NA
"3","You don't finish second.

#IndianParentLogic",FALSE,1,NA,2014-02-05 21:41:33,FALSE,NA,"431180822092075008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","devc0ol",0,FALSE,FALSE,NA,NA
"4","RT @Roli09: Don't talk to strangers, but get married to one! #IndianParentLogic",FALSE,0,NA,2014-02-05 13:39:04,FALSE,NA,"431059400170549248",NA,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","manavleslie",8,TRUE,FALSE,NA,NA
"5","RT @AsNiceAsYou: #IndianParentLogic http://t.co/jijLQnJ2oe",FALSE,0,NA,2014-02-04 16:08:13,FALSE,NA,"430734547014418432",NA,"web","asha_gm",7,TRUE,FALSE,NA,NA
"6","#IndianParentLogic http://t.co/tmMnx5L0jP",FALSE,0,NA,2014-02-03 14:22:33,FALSE,NA,"430345567290413057",NA,"<a href=""http://www.myplume.com/"" rel=""nofollow"">PlumeÂ forÂ Android</a>","Born2bAwsome",0,FALSE,FALSE,NA,NA
"7","RT @neerjagurnani: Parents: Be yourself
Parents: No not like that
Parents: We meant, be like Mr.Sharma's son. 90% in boards and all no.

#Iâ€¦",FALSE,0,NA,2014-02-03 05:12:58,FALSE,NA,"430207258744471552",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","brake_illa",26,TRUE,FALSE,NA,NA
"8","jus saw a parent scolding her child as she got 75% in her ssc prelims. Anything below 90 is equivalent to 35.  #IndianParentLogic",FALSE,0,NA,2014-02-02 04:50:54,FALSE,NA,"429839319751094272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NoKaamDhandha92",0,FALSE,FALSE,NA,NA
"9","RT @PseudoSciencer: ""Mom, I need a new phone.""
""What? New Phone? You just got a new phone 4 years back.""
#IndianParentLogic",FALSE,0,NA,2014-02-02 02:47:08,FALSE,NA,"429808171365199872",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","ThingsIgrewUp",33,TRUE,FALSE,NA,NA
"10","RT @neerjagurnani: Parents: Be yourself
Parents: No not like that
Parents: We meant, be like Mr.Sharma's son. 90% in boards and all no.

#Iâ€¦",FALSE,0,NA,2014-02-01 17:21:46,FALSE,NA,"429665892306128896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","im_kabir",26,TRUE,FALSE,NA,NA
"11","RT @neerjagurnani: Parents: Be yourself
Parents: No not like that
Parents: We meant, be like Mr.Sharma's son. 90% in boards and all no.

#Iâ€¦",FALSE,0,NA,2014-02-01 17:12:56,FALSE,NA,"429663669249908736",NA,"<a href=""https://plus.google.com/u/0/115652356080517684465"" rel=""nofollow"">india market news</a>","Trending_India",26,TRUE,FALSE,NA,NA
"12","RT @neerjagurnani: Parents: Be yourself
Parents: No not like that
Parents: We meant, be like Mr.Sharma's son. 90% in boards and all no.

#Iâ€¦",FALSE,0,NA,2014-02-01 16:57:47,FALSE,NA,"429659857721896961",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","ItsTheGenes",26,TRUE,FALSE,NA,NA
"13","RT @neerjagurnani: Parents: Be yourself
Parents: No not like that
Parents: We meant, be like Mr.Sharma's son. 90% in boards and all no.

#Iâ€¦",FALSE,0,NA,2014-02-01 16:53:54,FALSE,NA,"429658878758748160",NA,"<a href=""http://favstar.fm"" rel=""nofollow"">Favstar.FM</a>","i_theindian",26,TRUE,FALSE,NA,NA
"14","RT @BwoyGenius: Anything below 90 is equivalent to 35

#IndianParentLogic",FALSE,0,NA,2014-02-01 06:33:47,FALSE,NA,"429502823487643648",NA,"<a href=""http://favstar.fm"" rel=""nofollow"">Favstar.FM</a>","DerpinaKapoor",26,TRUE,FALSE,NA,NA
"15","RT @ThatCandyLady: It doesn't matter if I m doing engineering... I should still score more than sharmaji's son who is doing bcom -_-""  #Indâ€¦",FALSE,0,NA,2014-01-31 06:16:38,FALSE,NA,"429136118676602880",NA,"web","srk_ronak",2,TRUE,FALSE,NA,NA
"16","RT @hairdofreak: í ½í¸‚í ½í¸‚í ½í¸‚í ½í¸‚í ½í¸‚ #IndianParentLogic http://t.co/bjTZFh1y4y",FALSE,0,NA,2014-01-30 18:11:35,FALSE,NA,"428953656163966976",NA,"web","BeingZuZu",19,TRUE,FALSE,NA,NA
"17","#IndianParentLogic If you live with them: you're just a kid, you can't live alone. When you're independent: you're grown up. Get married.",FALSE,0,NA,2014-01-30 15:33:44,FALSE,NA,"428913929524215809",NA,"web","srejanabasu",0,FALSE,FALSE,NA,NA
"18","RT @bani_94: Haha..true that ! í ½í¸‚
#IndianParentLogic. http://t.co/2s6k2J1gGf",FALSE,0,NA,2014-01-30 02:31:10,FALSE,NA,"428716990560100352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AtulMehta69",1,TRUE,FALSE,NA,NA
