"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @bsindia: #NarendraModi calls for setting up IITs, IIMs, AIIMS and other premiere institutes in every state in the country. http://t.co/…",FALSE,0,NA,2014-02-09 09:07:31,FALSE,NA,"432440613644951552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gaurav99singh",2,TRUE,FALSE,NA,NA
"2","Visionary RT @bsindia: #NarendraModi calls for setting up IITs, IIMs, AIIMS and other premiere institutes in each state",FALSE,0,NA,2014-02-09 09:06:03,FALSE,NA,"432440246806908928",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ChandrusWeb",0,FALSE,FALSE,NA,NA
"3","RT @bsindia: #NarendraModi calls for setting up IITs, IIMs, AIIMS and other premiere institutes in every state in the country. http://t.co/…",FALSE,0,NA,2014-02-09 09:05:25,FALSE,NA,"432440087435960320",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ChandrusWeb",2,TRUE,FALSE,NA,NA
"4","Mdmk Chief Vaiko Meets #Narendramodi  http://t.co/LI3QKBkfzH via @oneindia",FALSE,0,NA,2014-02-09 09:04:13,FALSE,NA,"432439783755747328",NA,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","sanjaysingh1814",0,FALSE,FALSE,NA,NA
"5","#NarendraModi calls for setting up IITs, IIMs, AIIMS and other premiere institutes in every state in the country. http://t.co/Qbzr1rAZXP",FALSE,0,NA,2014-02-09 09:02:38,FALSE,NA,"432439383782723584",NA,"web","bsindia",2,FALSE,FALSE,NA,NA
"6","(Pics) Recount minister remark: Chidambaram hits back at Narendra Modi http://t.co/KmLN4jOixG #NarendraModi",FALSE,0,NA,2014-02-09 08:53:12,FALSE,NA,"432437010557448192",NA,"<a href=""http://oneindia.in"" rel=""nofollow"">Oneindia</a>","Oneindia",0,FALSE,FALSE,NA,NA
"7","RT @rairuchi00: #NarendraModi :: hum kale dhan ka ek-ek pai wapas layenge!!
EK PAI WAPAS AA GYA HAIN --YEDURAPPA, AUR BOHOTO KO WAPAS LANA …",FALSE,0,NA,2014-02-09 08:52:55,FALSE,NA,"432436939862441985",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dhankharvs",2,TRUE,FALSE,NA,NA
"8","► ಗಾಂಧಿ ಕೊಂದಿದ್ದು ಆರೆಸ್ಸೆಸ್‌ ವಿಚಾರಧಾರೆ: ರಾಹುಲ್‌ - http://t.co/g2phn1vjA4 #Udayavani #Bardoli #Congress #RahulGandhi #NarendraModi #NaMo",FALSE,0,NA,2014-02-09 08:51:46,FALSE,NA,"432436650506194944",NA,"<a href=""http://bitly.com"" rel=""nofollow"">bitly</a>","udayavani_web",0,FALSE,FALSE,NA,NA
"9","RT @gopal2315: #rahulgandhi copies #NarendraModi asks why, why, why? #Pappu, it's ur govt at center, u ruled Odisa 40yrs, most of the time.…",FALSE,0,NA,2014-02-09 08:51:33,FALSE,NA,"432436597678551040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","truelymadish",1,TRUE,FALSE,NA,NA
"10","RT @archimags: “@dna: #NarendraModi taunts Chidambaram, says 'hard work matters not Harvard' http://t.co/m0Qu2Fnu11” Of course! He's not be…",FALSE,0,NA,2014-02-09 08:48:12,FALSE,NA,"432435754367586304",NA,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial© PRO</a>","Dharmesh_K",1,TRUE,FALSE,NA,NA
"11","RT @Oneindia: MDMK chief Vaiko meets Narendra Modi  http://t.co/VhmQkov8uw #NarendraModi",FALSE,0,NA,2014-02-09 08:47:39,FALSE,NA,"432435614634356736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pmtiger",1,TRUE,FALSE,NA,NA
"12","RT @rajattwittes: @ballot2014 @Modi_Sena @AmbikeshDdutt Thank u so much for your kind words let's achieve Mission 272+ #NarendraModi #BJP #…",FALSE,0,NA,2014-02-09 08:47:02,FALSE,NA,"432435459025666048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AmbikeshDdutt",1,TRUE,FALSE,NA,NA
"13","RT @ballot2014: The Hiddden #NarendraModi Gems Here on Twitter @rajattwittes @Modi_Sena ..and @AmbikeshDdutt DO follow them #BJP #Nationali…",FALSE,0,NA,2014-02-09 08:46:37,FALSE,NA,"432435353450848256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AmbikeshDdutt",1,TRUE,FALSE,NA,NA
"14","RT @dna: Must respect all 'chai walahs' but not those who make a fool of you: #RahulGandhi takes on #NarendraModi in Gujarat http://t.co/Wr…",FALSE,0,NA,2014-02-09 08:45:14,FALSE,NA,"432435007488286720",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","zackodawacko",14,TRUE,FALSE,NA,NA
"15","MDMK chief Vaiko meets Narendra Modi  http://t.co/VhmQkov8uw #NarendraModi",FALSE,0,NA,2014-02-09 08:44:11,FALSE,NA,"432434743976525824",NA,"<a href=""http://oneindia.in"" rel=""nofollow"">Oneindia</a>","Oneindia",1,FALSE,FALSE,NA,NA
"16","RT @timesofindia: #NarendraModi follows ‘poisonous’ ideology of RSS, #RahulGandhi says http://t.co/3qkq3nUQJy",FALSE,0,NA,2014-02-09 08:43:09,FALSE,NA,"432434482767867904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dipendalal",10,TRUE,FALSE,NA,NA
"17","RT @dna: Must respect all 'chai walahs' but not those who make a fool of you: #RahulGandhi takes on #NarendraModi in Gujarat http://t.co/Wr…",FALSE,0,NA,2014-02-09 08:41:47,FALSE,NA,"432434139598315520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dipendalal",14,TRUE,FALSE,NA,NA
"18","RT @arjunmodhwadia: ગુજરાતમાં રોજના 11 રૂપિયા કમાનાર ગરીબ નહીં :It is officially announced by #NarendraModi govt.
 http://t.co/Ti9wmZJxlx
S…",FALSE,0,NA,2014-02-09 08:40:18,FALSE,NA,"432433763708960768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dipendalal",6,TRUE,FALSE,NA,NA
"19","RT @Oneindia: Narendra Modi tears into Chidambaram, says hardwork not Harvard pays http://t.co/BJYzABLB33 #NarendraModi",FALSE,0,NA,2014-02-09 08:33:49,FALSE,NA,"432432134469341184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aknarendranath",2,TRUE,FALSE,NA,NA
"20","“@dna: #NarendraModi taunts Chidambaram, says 'hard work matters not Harvard' http://t.co/m0Qu2Fnu11” Of course! He's not been to Harvard.",FALSE,0,"dna",2014-02-09 08:31:39,FALSE,"432425510535057408","432431589788614656","17710740","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","archimags",1,FALSE,FALSE,NA,NA
"21","Modi to address rally in Kerala today, may meet church representatives http://t.co/1MgkYCcGJs #NarendraModi",FALSE,0,NA,2014-02-09 08:30:12,FALSE,NA,"432431223336472576",NA,"<a href=""http://oneindia.in"" rel=""nofollow"">Oneindia</a>","Oneindia",0,FALSE,FALSE,NA,NA
"22","‘मोदींनाच भेटलो, अतिरेक्याला नाही!: पवार  http://t.co/UfnNj93lPj #SharadPawar #NarendraModi #BJP #NCP @mataonline",FALSE,0,NA,2014-02-09 08:29:13,FALSE,NA,"432430977604796416",NA,"web","mataonline",0,FALSE,FALSE,NA,NA
"23","RT @EconomicTimes: #NarendraModi: I urge you to create a #Microsoft in India.",FALSE,0,NA,2014-02-09 08:24:30,FALSE,NA,"432429786963935232",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","PranjalSaran",22,TRUE,FALSE,NA,NA
"24","RT @NRIDoctor: What would @Swamy39 say to that? “@dna: #NarendraModi taunts Chidambaram, says 'hard work matters not Harvard' http://t.co/p…",FALSE,0,NA,2014-02-09 08:23:56,FALSE,NA,"432429644881883137",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hgsutras",1,TRUE,FALSE,NA,NA
"25","RT @dna: #NarendraModi taunts Chidambaram, says 'hard work matters not Harvard' http://t.co/ephfpR4haQ",FALSE,0,NA,2014-02-09 08:17:38,FALSE,NA,"432428059837202432",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>","manishdangi4u",5,TRUE,FALSE,NA,NA
