"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Read the film #review of the movie #PuraniJeans 
http://t.co/csHqo4RmDO",FALSE,0,NA,2014-05-10 03:37:33,FALSE,NA,"464972482730926081",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>","ItzAnamika",0,FALSE,FALSE,NA,NA
"2","@K_K_Pal sir, i bet more dan half of d ppl who saw #PuraniJeans went 2 c it just coz of ur song #DilAajKal . 1 of d best songs this year :)",FALSE,0,"K_K_Pal",2014-05-09 20:10:00,FALSE,NA,"464859853526405120","2437986002","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","anvayp2105",0,FALSE,FALSE,NA,NA
"3","Public Verdict! #PuraniJeans @Aadii_: Was watching Purani Jeans, for an empty Cinema and corner seat experience #Bollywood @ Nueplex Cinemas",FALSE,0,NA,2014-05-09 15:38:29,FALSE,NA,"464791524945821696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","adl_hsn",0,FALSE,FALSE,NA,NA
"4","Watched #PuraniJeans.",FALSE,0,NA,2014-05-09 14:59:36,FALSE,NA,"464781737332318208",NA,"web","Kiran_Jawed",0,FALSE,FALSE,NA,NA
"5","RT @PuraniJeansFilm: Love is not an illusion, it is magic!
Book tickets for #PuraniJeans &amp; feel the magic of love➔ http://t.co/UxlbCCiotZ h…",FALSE,0,NA,2014-05-09 13:42:28,FALSE,NA,"464762326017916928",NA,"web","cinemaxacacia",2,TRUE,FALSE,NA,NA
"6","""@mylyfSRK: Yeh Tujhse^ hee milke hua hai^ ♥
    jo Teri nazar ne chua hai ! 
   ♥
kya Tum ho kya Tum ho wahi :)
#PuraniJeans""  my fav line!",FALSE,1,NA,2014-05-09 13:37:16,FALSE,NA,"464761018669744128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SahanaSidM",0,FALSE,FALSE,NA,NA
"7","Yeh Tujhse^ hee milke hua hai^ ♥
    jo Teri nazar ne chua hai ! 
   ♥
kya Tum ho kya Tum ho wahi :)
#PuraniJeans",FALSE,0,NA,2014-05-09 13:35:28,FALSE,NA,"464760565110276096",NA,"web","mylyfSRK",0,FALSE,FALSE,NA,NA
"8","RT @boxofficeindia: 1st Week Collections Of #PuraniJeans #Jaipur | Box Office India : India’s premier film trade magazine http://t.co/fz4cU…",FALSE,0,NA,2014-05-09 13:22:40,FALSE,NA,"464757343981289475",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","sajes11",2,TRUE,FALSE,NA,NA
"9","RT @boxofficeindia: 1st Week Collections Of #PuraniJeans #Jaipur | Box Office India : India’s premier film trade magazine http://t.co/fz4cU…",FALSE,0,NA,2014-05-09 13:20:16,FALSE,NA,"464756742874624001",NA,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>","BoBoxoffice",2,TRUE,FALSE,NA,NA
"10","1st Week Collections Of #PuraniJeans #Jaipur | Box Office India : India’s premier film trade magazine http://t.co/fz4cUchaeS",FALSE,1,NA,2014-05-09 12:28:20,FALSE,NA,"464743671452033024",NA,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","boxofficeindia",2,FALSE,FALSE,NA,NA
