"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","This is too precious. Hahaha. #suits http://t.co/tgSIchh9OH",FALSE,0,NA,2014-02-09 09:19:29,FALSE,NA,"432443626048610304",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JacksGapGalaxy",0,FALSE,FALSE,NA,NA
"2","#smartcasual #men #fashion #design #luxury #style #tie #shoes #watch #scarf #bowtie #suit #suits… http://t.co/HdtIBbVtNZ",FALSE,0,NA,2014-02-09 09:16:53,FALSE,NA,"432442973390110720",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","LooksUomo",0,FALSE,FALSE,NA,NA
"3","Dapper ensemble/10. #suits http://t.co/evaDeLUvD8",FALSE,0,NA,2014-02-09 09:11:52,FALSE,NA,"432441708731580416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MimiNoble",0,FALSE,FALSE,NA,NA
"4","see this photo from suits via #tvtag #Suits http://t.co/RNbSq6xKlh",FALSE,0,NA,2014-02-09 08:55:37,FALSE,NA,"432437620682272769",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bsoana7",0,FALSE,FALSE,NA,NA
"5","Isang buwan na lang. #suits",FALSE,0,NA,2014-02-09 08:54:38,FALSE,NA,"432437373691887616",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ailashes",0,FALSE,FALSE,NA,NA
"6","All jazzed up, come back you guys. I'm growing impatient. @halfadams &lt;3

The Constellations - Perfect Day #Suits
http://t.co/PArFlO6eyH",FALSE,0,NA,2014-02-09 08:51:47,FALSE,NA,"432436654112899072",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","DanceOf_Light",0,FALSE,FALSE,NA,NA
"7","RT @c_indyluu: Holy shit the waiters at Rockpool are sexy #britishaccents #suits #yes",FALSE,0,NA,2014-02-09 08:50:33,FALSE,NA,"432436345231769600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cccccej",1,TRUE,FALSE,NA,NA
"8","Sunday afternoon watching #Suits DVD @ Savannah Glen A Subdivision, Hibao-an http://t.co/Vn5QW48VQz",FALSE,0,NA,2014-02-09 08:48:59,FALSE,NA,"432435949264715776",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","atty_mpiad",0,FALSE,FALSE,"122.50898559","10.74758317"
"9","Can't wait to buy it on DVD.Ｉ really want to watch season 3! Ｉ wish Ｉ were American ( ˘⊖˘)  #SUITS",FALSE,0,NA,2014-02-09 08:47:53,FALSE,NA,"432435672125677568",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","hourai1023",0,FALSE,FALSE,NA,NA
"10","Have you been Lit up????? #suits #lituo #law #lawstuff #youdontgetit #wannabelawyersthinktheyknowsuits http://t.co/BpGkAbeCYn",FALSE,0,NA,2014-02-09 08:42:27,FALSE,NA,"432434307685437440",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","_yuce_",0,FALSE,FALSE,NA,NA
"11","RT @ebels10: “@GabrielMacht: Thinking about going to UCLA tonight for a live Q and A for #suits S3.5...who's in?” @TaylorElise5",FALSE,0,NA,2014-02-09 08:38:32,FALSE,NA,"432433322011025408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TaylorElise5",1,TRUE,FALSE,NA,NA
"12","Woaahhh... Watching #SUITS last night was totally worthwhile.
Damn got addicted",FALSE,1,NA,2014-02-09 08:31:41,FALSE,NA,"432431597116489729",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Kool7kaushal",0,FALSE,FALSE,NA,NA
"13","#suits is really a classic!",FALSE,0,NA,2014-02-09 08:30:25,FALSE,NA,"432431278491582464",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","atty_mpiad",0,FALSE,FALSE,"122.50514298","10.74748694"
"14","RT @akorsh9: ""@Fab4tune:1st for #Suits, formal co-writers on ep v writers room contributions?"" Yes I co-wrote 2 this year &amp; 1 alone but all…",FALSE,0,NA,2014-02-09 08:28:55,FALSE,NA,"432430900651900929",NA,"web","SuitsFans",2,TRUE,FALSE,NA,NA
"15","Je veux la saison 4 de #Shameless et de #Suits.",FALSE,0,NA,2014-02-09 08:28:03,FALSE,NA,"432430682787573761",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>","artegor101",0,FALSE,FALSE,NA,NA
"16","RT @akorsh9: ""@kaiibea: since #Suits is showing in other countries too, ru guys thinking of int'l tour?"" I do not drive process.  Have to a…",FALSE,0,NA,2014-02-09 08:27:00,FALSE,NA,"432430419590381568",NA,"web","SuitsFans",3,TRUE,FALSE,NA,NA
"17","Waiting for the metro with @halfadams #suits #London #Tube http://t.co/MQ5thGSde5",FALSE,0,NA,2014-02-09 08:26:30,FALSE,NA,"432430291320573953",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Maraitaly",0,FALSE,FALSE,NA,NA
"18","RT @Harveyholics: Happy #SuitsSaturday

The #SuitsCollegeTour resumes Feb 11 at #UniversityOfArizona

#Suits http://t.co/04Iz6v0ON0",FALSE,0,NA,2014-02-09 08:24:51,FALSE,NA,"432429875916333056",NA,"web","SuitsFans",5,TRUE,FALSE,NA,NA
"19","@akorsh9 thanks for taking the time to answer q's! Much appreciated! #bestShowrunnerEver #Suits",FALSE,0,"akorsh9",2014-02-09 08:22:10,FALSE,"432423826895294464","432429201430282240","326020899","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","soul4dgame",0,FALSE,FALSE,NA,NA
"20","RT @SosiCapri: @FootieMad4evr @akorsh9 I'm so glued to the tv lol watching #Suits s2 #Asterisk ^-^",FALSE,0,NA,2014-02-09 08:21:50,FALSE,NA,"432429116294709249",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","lawyergrading",1,TRUE,FALSE,NA,NA
"21","RT @akorsh9: ""@_joshuamorris: @akorsh9 I like you. You created #Suits.""  So let it be written, so let it be done.",FALSE,0,NA,2014-02-09 08:21:49,FALSE,NA,"432429113656090624",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","carlarmathies",2,TRUE,FALSE,NA,NA
"22","It's the small things that make an outfit stand out!
#mrslimfit #slimfitswaag #menswear #suits… http://t.co/W9qmVPfkpo",FALSE,0,NA,2014-02-09 08:13:27,FALSE,NA,"432427007746772992",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Slimfit_Swaag",0,FALSE,FALSE,NA,NA
