"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Obrigada #vodafone, pelos 5 GB de net",FALSE,0,NA,2014-02-10 09:32:38,FALSE,NA,"432809324940132353",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>","CatarinaBairrao",0,FALSE,FALSE,NA,NA
"2","Vodafone pone precio a Ono y ofrece 7.000 millones para comprarlo #vodafone #ono http://t.co/zPeKb8LcxT",FALSE,0,NA,2014-02-10 09:32:17,FALSE,NA,"432809236893282304",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","NotiFinancieras",0,FALSE,FALSE,NA,NA
"3","RT @EstefaniaOP: #Vodafone ofrece 7.000 millones para hacerse con #ONO http://t.co/bBjhJxEtrh #telecos @EconoDigital",FALSE,0,NA,2014-02-10 09:30:49,FALSE,NA,"432808865814806528",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","EconoDigital",2,TRUE,FALSE,NA,NA
"4","I don't know why I bother attempting to use my phone when it's not on WiFi. #Vodafone @FixItVodafone #givemeasignalplz",FALSE,0,NA,2014-02-10 09:26:22,FALSE,NA,"432807745604313088",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","stelarge30",0,FALSE,FALSE,NA,NA
"5","#vodafone müşteri hizmetleri herhangi bir sorunu çözmekten aciz. Bana diyo ki""kaydınız alınmış fakat işlem yapılmamış.""Soruyorum""neden?""+",FALSE,2,NA,2014-02-10 09:26:17,FALSE,NA,"432807726499250177",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","kaacakir",0,FALSE,FALSE,NA,NA
"6","RT @EstefaniaOP: #Vodafone ofrece 7.000 millones para hacerse con #ONO http://t.co/bBjhJxEtrh #telecos @EconoDigital",FALSE,0,NA,2014-02-10 09:25:15,FALSE,NA,"432807466775375872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","crisfarres",2,TRUE,FALSE,NA,NA
"7","Text CCFC02 £3 to 70070 to donate to Cardiff City Foundation and make a difference today #JustTextGiving by #Vodafone http://t.co/q1etx0jc2z",FALSE,0,NA,2014-02-10 09:23:18,FALSE,NA,"432806973101182976",NA,"web","CardiffCityFITC",0,FALSE,FALSE,NA,NA
"8","GoMoNews #Vodafone gets into Spanish #fourplay http://t.co/J7b54h0fbw #financial #backbone #ono #opticalfibre #spain",FALSE,0,NA,2014-02-10 09:22:41,FALSE,NA,"432806820479262720",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","GoMoTweet",0,FALSE,FALSE,NA,NA
"9","What a bunch of walnuts #vodafone",FALSE,0,NA,2014-02-10 09:20:42,FALSE,NA,"432806321134772226",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","QueenMumma",0,FALSE,FALSE,NA,NA
"10","Las portadas económicas de hoy con la Oferta de #Vodafone para comprar @ono_ono como noticia relevante. http://t.co/Fq5kMHEwNd",FALSE,0,NA,2014-02-10 09:20:20,FALSE,NA,"432806229279117312",NA,"web","seneorabogados",0,FALSE,FALSE,NA,NA
