"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#Oakham Check #offers on #Samsung #Nokia every network Orange #O2 #Tesco #Vodafone highstreet brands in one place http://t.co/585xUp0Mpp",FALSE,0,NA,2014-02-10 05:46:54,FALSE,NA,"432752514304589824",NA,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>","mobiledirectuk",0,FALSE,FALSE,NA,NA
"2","#Askern Check #offers on #Samsung #Nokia every network Orange #O2 #Tesco #Vodafone highstreet brands in one place http://t.co/585xUp0Mpp",FALSE,0,NA,2014-02-10 05:35:58,FALSE,NA,"432749765588447232",NA,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>","mobiledirectuk",0,FALSE,FALSE,NA,NA
"3","RT @mobiledirectuk: #Edmonton Check #offers on #Samsung #Nokia every network Orange #O2 #Tesco #Vodafone highstreet brands in one place htt…",FALSE,0,NA,2014-02-10 05:35:31,FALSE,NA,"432749652606484480",NA,"<a href=""http://www.pagebase.net/"" rel=""nofollow"">PageBase.Net</a>","edmonton_rt",1,TRUE,FALSE,NA,NA
"4","#Edmonton Check #offers on #Samsung #Nokia every network Orange #O2 #Tesco #Vodafone highstreet brands in one place http://t.co/585xUp0Mpp",FALSE,0,NA,2014-02-10 05:31:55,FALSE,NA,"432748744657076224",NA,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>","mobiledirectuk",1,FALSE,FALSE,NA,NA
"5","@nigelbabu i have a #docomo and #vodafone  but he latter is by far the worst offender!",FALSE,0,"nigelbabu",2014-02-10 05:27:51,FALSE,"432745252173004800","432747721095520257","19160166","web","marzmanz",0,FALSE,FALSE,NA,NA
"6","Photo “V.V.” by BW photo (@BWPHOT0) #500px http://t.co/RpyhD9vuJE #milano #foto #vodafone",FALSE,0,NA,2014-02-10 05:24:48,FALSE,NA,"432746952577388544",NA,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","BWPHOT0",0,FALSE,FALSE,NA,NA
"7","Shopping around? Handsets on #Vodafone , #HTC One; Save �� now! http://t.co/JzluS0sRuB",FALSE,0,NA,2014-02-10 05:24:31,FALSE,NA,"432746882558083072",NA,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>","EasyDealMobiles",0,FALSE,FALSE,NA,NA
"8","Shopping around? Handsets on #Vodafone , #Galaxy S4 Active; Don't miss out! http://t.co/JzluS0sRuB",FALSE,0,NA,2014-02-10 05:17:33,FALSE,NA,"432745127715831809",NA,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>","EasyDealMobiles",0,FALSE,FALSE,NA,NA
"9","#Reigate Check #offers on #Samsung #Nokia every network Orange #O2 #Tesco #Vodafone highstreet brands in one place http://t.co/585xUp0Mpp",FALSE,0,NA,2014-02-10 04:43:31,FALSE,NA,"432736564763189248",NA,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>","mobiledirectuk",0,FALSE,FALSE,NA,NA
"10","Stop shopping around! #Vodafone deals for you! Latest #HTC phones in stock! See deals now! http://t.co/kpgwq2b9XQ",FALSE,0,NA,2014-02-10 04:39:31,FALSE,NA,"432735556121153537",NA,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>","mobiledirectuk",0,FALSE,FALSE,NA,NA
"11","#Vodafone in the acquisition drive - €7billion bid for #Spain's Ono.  http://t.co/DLBdUngevp",FALSE,0,NA,2014-02-10 04:39:10,FALSE,NA,"432735468007215104",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">Safari on iOS</a>","matji_peter",0,FALSE,FALSE,NA,NA
"12","The day #reliance launches #jio,will be the day #vodafone 3G sim will b thrown in trash!! Sick n tired f @VodafoneIN appalling 3G srvce!",FALSE,0,NA,2014-02-10 04:23:21,FALSE,NA,"432731491353636865",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Neirmal",0,FALSE,FALSE,NA,NA
